date,nav,benchmark
2024-07-03,11051651.66,30.285
2024-07-04,11029434.91,30.265
2024-07-05,11036647.78,30.34
2024-07-08,11023346.1,30.355
2024-07-09,11048869.94,30.38
2024-07-10,11095690.05,30.45
2024-07-11,11148784.42,30.51
2024-07-12,11161464.47,30.57
2024-07-15,11187698.59,30.665
2024-07-16,11227787.16,30.645
2024-07-17,11181600.01,30.49
2024-07-18,11175351.51,30.4
2024-07-19,11137138.44,30.26
2024-07-22,11186510.28,30.28
2024-07-23,11198040.27,30.455
2024-07-24,11178509.97,30.185
2024-07-25,11132525.2,30.065
2024-07-26,11172263.13,30.105
2024-07-29,11187162.44,30.24
2024-07-30,11206187.68,30.185
2024-07-31,11249955.96,30.55
2024-08-01,11181802.78,30.395
2024-08-02,11004302.46,29.715
2024-08-05,10853057.49,29.33
2024-08-06,10899617.38,29.495
2024-08-07,10953835.77,29.72
2024-08-08,10979758.17,29.65
2024-08-09,11006637.3,29.775
2024-08-12,10991497.67,29.805
2024-08-13,11028423.17,29.96
2024-08-14,11029106.65,30.1
2024-08-15,11041968.39,30.27
2024-08-16,11098551.44,30.37
2024-08-19,11123584.45,30.44
2024-08-20,11089454.23,30.375
2024-08-21,11124693.73,30.445
2024-08-22,11160323.47,30.5
2024-08-23,11229641.12,30.52
2024-08-26,11231506.36,30.485
2024-08-27,11183702.26,30.46
2024-08-28,11170889.26,30.485
2024-08-29,11209332.72,30.685
2024-08-30,11210987.41,30.675
2024-09-02,11216177.32,30.64
2024-09-03,11153499.63,30.52
2024-09-04,11131631.29,30.365
2024-09-05,11099764.52,30.27
2024-09-06,11029564.4,30.075
2024-09-09,11099667.62,30.215
2024-09-10,11137283.37,30.3
2024-09-11,11083845.59,30.245
2024-09-12,11155685.71,30.555
2024-09-13,11214673.06,30.615
2024-09-16,11199168.46,30.64
2024-09-17,11246088.13,30.75
2024-09-18,11203682.11,30.675
2024-09-19,11288447.99,30.89
2024-09-20,11275945.27,30.735
2024-09-23,11322553.59,30.865
2024-09-24,11322455.15,30.99
2024-09-25,11327091.69,30.925
2024-09-26,11371309.88,31.025
2024-09-27,11377018.47,31.105
2024-09-30,11335277.8,31.08
2024-10-01,11356680.41,31.1
2024-10-02,11332382.47,31.16
2024-10-03,11312039.92,31.12
2024-10-04,11324388.26,31.16
2024-10-07,11302915.14,31.225
2024-10-08,11281877.64,31.135
2024-10-09,11294115.63,31.26
2024-10-10,11286100.69,31.24
2024-10-11,11340463.55,31.32
2024-10-14,11389073.53,31.455
2024-10-15,11425238.96,31.46
2024-10-16,11465838.6,31.525
2024-10-17,11514599.0,31.61
2024-10-18,11525590.16,31.655
2024-10-21,11493702.7,31.445
2024-10-22,11488423.71,31.5
2024-10-23,11471745.01,31.4
2024-10-24,11465709.74,31.375
2024-10-25,11443138.4,31.42
2024-10-28,11483299.99,31.415
2024-10-29,11475739.42,31.41
2024-10-30,11406266.55,31.32
2024-10-31,11334306.85,30.965
2024-11-01,11332270.3,31.12
2024-11-04,11288211.33,31.0
2024-11-05,11305383.54,31.085
2024-11-06,11420189.86,31.58
2024-11-07,11448410.33,31.7
2024-11-08,11479467.59,31.865
2024-11-11,11602506.96,32.025
2024-11-12,11545173.88,31.925
2024-11-13,11562324.03,31.98
2024-11-14,11547341.08,31.975
2024-11-15,11537450.55,31.725
2024-11-18,11535798.84,31.8
2024-11-19,11537191.61,31.81
2024-11-20,11548229.86,31.805
2024-11-21,11717590.21,32.035
2024-11-22,11781946.61,32.185
2024-11-25,11768886.31,32.255
2024-11-26,11736647.96,32.295
